#ip_prefix,alpha2code,region,city,postal_code
63.193.200.0/24,US,US-CA,,
63.199.32.0/21,US,US-CA,,
63.199.32.0/24,US,US-CA,,
63.199.33.0/24,US,US-CA,,
63.199.34.0/24,US,US-CA,,
63.199.35.0/24,US,US-CA,,
63.199.36.0/24,US,US-CA,,
63.199.37.0/24,US,US-CA,,
63.199.38.0/24,US,US-CA,,
63.199.39.0/24,US,US-CA,,
63.199.40.0/22,US,US-CA,,
63.199.40.0/24,US,US-CA,,
63.199.41.0/24,US,US-CA,,
63.199.42.0/24,US,US-CA,,
63.199.43.0/24,US,US-CA,,
63.199.44.0/24,US,US-CA,,
2607:cc80::/32,US,US-CA,,
2607:cc80::/48,US,US-CA,,
2607:cc80:1000::/48,US,US-CA,,
2607:cc80:2000::/48,US,US-CA,,
2607:cc80:3000::/48,US,US-CA,,
2607:cc80:4000::/48,US,US-CA,,
2607:cc80:5000::/48,US,US-CA,,
2607:cc80:6000::/48,US,US-CA,,
2607:cc80:7000::/48,US,US-CA,,
2607:cc80:8000::/48,US,US-CA,,
